Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
351,Lucas Paquetá,br BRA,MF,West Ham,25-145,1997,10.3,31,3.01,25,1,0,3,2,0,3,0.29,2,0,0,1,0,0,Matches,9b6f7fd5
352,Thomas Partey,gh GHA,MF,Arsenal,29-220,1993,14.5,44,3.04,36,2,1,2,1,2,4,0.28,4,0,0,0,0,0,Matches,529f49ab
353,Nathan Patterson,sct SCO,DFMF,Everton,21-095,2001,11.0,17,1.55,13,1,0,0,2,1,0,0.00,0,0,0,0,0,0,Matches,230f0471
354,Ben Pearson,eng ENG,MF,Bournemouth,28-015,1995,3.0,1,0.33,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,a6b461e7
355,Andreas Pereira,br BRA,MF,Fulham,27-018,1996,18.2,72,3.96,31,33,0,4,4,0,7,0.38,2,5,0,0,0,0,Matches,6639e500
356,Ayoze Pérez,es ESP,MFFW,Leicester City,29-174,1993,4.2,14,3.29,11,2,0,0,1,0,2,0.47,1,0,0,0,1,0,Matches,819aa8e7
357,Ivan Perišić,hr CRO,DFMF,Tottenham,33-351,1989,12.3,39,3.16,27,12,0,0,0,0,5,0.41,2,3,0,0,0,0,Matches,6fe90922
358,Romain Perraud,fr FRA,DF,Southampton,25-119,1997,11.0,27,2.46,16,1,4,4,1,1,5,0.46,3,0,1,0,1,0,Matches,6dfd8f05
359,Kalvin Phillips,eng ENG,MF,Manchester City,27-048,1995,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4f565d77
360,Nathaniel Phillips,eng ENG,DF,Liverpool,25-304,1997,0.7,1,1.36,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,515ebe8d
361,Jordan Pickford,eng ENG,GK,Everton,28-318,1994,18.0,5,0.28,3,2,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches,4806ec67
362,Ethan Pinnock,jm JAM,DF,Brentford,29-235,1993,11.0,8,0.73,4,2,0,2,0,0,1,0.09,1,0,0,0,0,0,Matches,e541326e
363,Daniel Podence,pt POR,FWMF,Wolves,27-090,1995,14.2,50,3.52,37,3,3,6,1,0,2,0.14,1,0,1,0,0,0,Matches,7fcc71d8
364,Nick Pope,eng ENG,GK,Newcastle Utd,30-275,1992,19.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4b40d9ca
365,Dennis Praet,be BEL,MF,Leicester City,28-250,1994,3.4,4,1.18,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,86695068
366,Isaac Price,nir NIR,MF,Everton,19-115,2003,0.4,2,5.45,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b9403c99
367,Christian Pulisic,us USA,FWDF,Chelsea,24-123,1998,6.8,20,2.96,18,0,0,2,0,0,3,0.44,3,0,0,0,0,0,Matches,1bf33a9a
368,Aaron Ramsdale,eng ENG,GK,Arsenal,24-250,1998,18.0,2,0.11,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,466fb2c5
369,Jacob Ramsey,eng ENG,MFFW,Aston Villa,21-236,2001,12.2,34,2.78,28,0,1,0,4,1,3,0.25,2,0,0,0,1,0,Matches,1544f145
370,Marcus Rashford,eng ENG,FW,Manchester Utd,25-080,1997,16.9,43,2.54,30,0,6,4,2,1,6,0.35,4,0,1,0,1,0,Matches,a1d5bd30
371,David Raya,es ESP,GK,Brentford,27-126,1995,19.0,6,0.32,3,3,0,0,0,0,1,0.05,0,1,0,0,0,0,Matches,98ea5115
372,Tim Ream,us USA,DF,Fulham,35-106,1987,20.0,17,0.85,17,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,28b40c9c
373,Nathan Redmond,eng ENG,DF,Southampton,28-319,1994,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ab651565
374,Harrison Reed,eng ENG,MF,Fulham,27-357,1995,17.5,39,2.23,34,2,2,1,0,0,3,0.17,2,0,1,0,0,0,Matches,803ae100
375,Bobby Reid,jm JAM,FWDF,Fulham,29-351,1993,17.5,36,2.06,24,1,2,3,5,1,2,0.11,1,0,0,0,0,1,Matches,0f7533cd
376,Declan Rice,eng ENG,MF,West Ham,24-005,1999,19.0,61,3.21,53,2,0,2,2,2,3,0.16,3,0,0,0,0,0,Matches,1c7012b8
377,Chris Richards,us USA,DFMF,Crystal Palace,22-297,2000,1.9,1,0.54,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,0a3d6d2b
378,Richarlison,br BRA,MFFW,Tottenham,25-254,1997,5.1,19,3.73,13,0,0,1,5,0,3,0.59,2,0,0,0,1,0,Matches,fa031b34
379,Jaïro Riedewald,nl NED,DFFW,Crystal Palace,26-132,1996,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,7a1f2c08
380,Matt Ritchie,sct SCO,FW,Newcastle Utd,33-131,1989,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,71ef519e
381,Andrew Robertson,sct SCO,DF,Liverpool,28-314,1994,12.7,49,3.84,33,13,1,2,0,0,7,0.55,5,2,0,0,0,0,Matches,2e4f5f03
382,Antonee Robinson,us USA,DF,Fulham,25-164,1997,16.3,33,2.02,31,1,1,0,0,0,2,0.12,2,0,0,0,0,0,Matches,289601e6
383,Marc Roca,es ESP,MF,Leeds United,26-054,1996,14.7,20,1.36,15,3,0,0,1,1,2,0.14,1,0,0,0,1,0,Matches,da27e268
384,Marek Rodák,sk SVK,GK,Fulham,26-037,1996,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,17acc2ed
385,Rodri,es ESP,MF,Manchester City,26-211,1996,16.4,55,3.35,51,0,0,3,1,0,8,0.49,8,0,0,0,0,0,Matches,6434f10d
386,Rodrigo,es ESP,FWMF,Leeds United,31-319,1991,13.5,27,2.00,18,0,3,6,0,0,2,0.15,1,0,0,1,0,0,Matches,1fb1c435
387,Mads Roerslev,dk DEN,DF,Brentford,23-209,1999,8.0,11,1.37,11,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches,57c94db2
388,Cristian Romero,ar ARG,DF,Tottenham,24-267,1998,10.3,7,0.68,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,a3d94a58
389,Oriol Romeu,es ESP,MF,Southampton,31-117,1991,0.8,3,3.65,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,4b511457
390,Cristiano Ronaldo,pt POR,FW,Manchester Utd,37-348,1985,5.8,11,1.89,9,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches,dea698d9
391,Connor Ronan,ie IRL,MF,Wolves,24-319,1998,0.0,1,90.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1b804500
392,Salomón Rondón,ve VEN,FW,Everton,33-125,1989,1.2,4,3.30,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b318a643
393,Joe Rothwell,eng ENG,MFDF,Bournemouth,28-008,1995,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,10a10454
394,José Sá,pt POR,GK,Wolves,30-002,1993,19.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,903b6e8b
395,Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,25-313,1997,5.1,27,5.26,20,0,4,1,2,0,6,1.17,4,0,1,0,1,0,Matches,2b16cb1a
396,Bukayo Saka,eng ENG,FW,Arsenal,21-136,2001,17.0,73,4.29,52,11,0,6,3,1,14,0.82,10,3,0,1,0,0,Matches,bc7dc64d
397,Mohamed Salah,eg EGY,FW,Liverpool,30-218,1992,17.7,69,3.89,52,0,5,8,3,1,8,0.45,4,0,0,2,1,1,Matches,e342ad68
398,William Saliba,fr FRA,DF,Arsenal,21-301,2001,17.8,8,0.45,6,2,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches,972aeb2a
